ANO;PRODUTO;MOVIMENTO COMERCIAL;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
2000;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;101942,422;118705,42;114386,085;131216,79;127845,372;179610,682;227445,586;239054,743;238142,228;248428,218;231264,7;252528,739;2210570,985
2001;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;260970,136;295165,794;344470,4542;299081,035;398830,336;332571,455;367506,4995;433207,3637;400312,0519;506149,0661;508543,5034;456207,0509;4603014,746
2002;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;459568,7269;416982,7442;454350,4618;448923,3455;440824,1917;418653,391;436346,5822;457948,4385;472497,6929;455297,2947;410006,3825;397874,2739;5269273,526
2003;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;400341,5813;381701,7811;429947,3595;441462,8715;462387,6258;513839,8263;510812,4718;516932,1854;488405,6447;599014,5512;621203,9214;580809,0887;5946858,909
2004;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;555184,6622;597818,6036;656632,6956;644562,4642;669391,1214;658488,9517;658013,7548;698793,2865;743755,5126;776352,0116;724554,0315;702547,4936;8086094,589
2005;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;705516,3204;625620,4629;722410,2917;738022,4888;724523,4786;680544,9192;710698,7155;784080,3368;789359,0931;854415,3075;833469,1296;828891,8213;8997552,365
2006;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;800286,0133;769496,1832;880853,5372;700181,9965;791000,3459;790290,7175;811377,4599;859287,2439;869945,4525;890976,8331;802663,1202;822391,6483;9788750,551
2007;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;774178,8614;722354,9208;797098,6081;773386,7734;811985,2123;828452,8859;899495,9835;889781,5774;915106,8967;969854,5348;953747,3009;998601,429;10334044,98
2008;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;1004564,284;944674,6408;998292,4122;952207,3275;974175,5517;938278,6873;970059,3587;971966,183;914007,7031;966996,9463;919593,9717;793080,8723;11347897,94
2009;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;632608,2633;562312,0117;646798,9323;659706,4351;832913,1133;818566,2301;900855,2273;764156,9663;695321,4821;697616,6703;707999,1641;624347,4813;8543201,977
2010;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;657852,7013;737498,0217;786629,8853;753997,5299;864822,3713;1047425,455;1121064,495;1505327,916;1366327,068;1396777,37;1318380,939;1091059,306;12647163,06
2011;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;708588,5533;902521,9149;940563,7699;724642,3521;785535,5559;961891,1659;955032,0588;959603,8424;939486,6084;910437,209;907701,306;785225,9384;10481230,27
2012;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;671833,725;864282,7698;1016579,867;1164218,195;1310334,091;1119988,471;894960,4176;717304,4712;1251750,089;1464507,19;1388927,75;1278100,304;13142787,34
2013;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;1497996,838;1410720,647;1514008,783;1350717,816;1680531,89;1190564,334;1452583,357;1244397,127;1406717,218;1432250,867;1341986,549;990989,573;16513465
2014;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;1189326,57;1079353,795;1158936,93;1558975,073;1972266,63;1142791,231;2041596,954;1733386,174;1090442,263;1728655,205;1201583,477;1500700,406;17398014,71
2015;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;2318656,279;1776776,749;1645914,517;1745117,281;1703462,212;1478613,946;1607340,827;1233793,267;1504787,752;1288617,85;1274076,256;1534399,759;19111556,69
2016;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;1446837,637;1292019,682;1294905,466;1667004,126;1252810,722;875238,2838;872598,768;886193,432;1136420,095;1013281,965;928016,6896;655395,8;13320722,67
2017;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;450723,1173;571256,4087;1023689,529;905575,526;855240,748;688809,462;912989,27;1106337,006;1039192,362;1229705,682;875674,16;983356,7;10642549,97
2018;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;716091,717;908097,38;823642,582;620883,818;851620,124;758700,472;1232294,405;1325718,805;1317454,646;973304,921;725298,156;589291,779;10842398,81
2019;GAS NATURAL (mil m3) ;IMPORTACAO;mil m3;675232,9056;706263,32;669634,3852;947128,8338;581525,533;566759,6044;781444,97;906682,6428;943859,1885;1122664,146;1239067,043;835042,077;9140262,573
